dealer_id,dealer_name,city,pin_code,model,primary_language,test_ride_available,source_system
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Stride 200 Demo,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Stride 200 Pro,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Urban 125 Demo,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Urban 125 Plus,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Pulse 160 Standard,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Pulse 160 Long Range,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Nova 110 Lite,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Nova 110 Connect,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Apex 300 Sport,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Apex 300 Tour,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Glide 90 Eco,English,true,DealerMDM
DLR-4001,SVT Bengaluru Central,Bengaluru,560001,SVT Glide 90 Family,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Stride 200 Demo,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Stride 200 Pro,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Urban 125 Demo,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Urban 125 Plus,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Pulse 160 Standard,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Pulse 160 Long Range,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Nova 110 Lite,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Nova 110 Connect,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Apex 300 Sport,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Apex 300 Tour,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Glide 90 Eco,English,true,DealerMDM
DLR-4002,SVT Pune West,Pune,411001,SVT Glide 90 Family,English,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Stride 200 Demo,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Stride 200 Pro,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Urban 125 Demo,Tamil,true,DealerMDM
